bafyreiddd2x2xy6u5nysssuur6qsejkpevpvnoe5wt3qfwxhpuica7y77i | sowsJwWkbe.txt-clusterDAG | CLUSTERDAG-PIN-DIRECT | Repl. Factor: -1 | Allocations: [everywhere] | Direct | Metadata: yes | Exp: ∞ | Added: 2024-04-30 05:03:52
bafyreidgjjvzn3ixdy373irlcmbkrr7bdvd7qcfacnnf3jqdbpwtpzthbi | sowsJwWkbe.txt-shard-3 | SHARD-PIN | Repl. Factor: 1--1 | Allocations: [12D3KooWABnCrssDUs13nD2vZJaiAtyV4HEwQq54wKhZwgnqayrf] | Recursive-1 | Metadata: no | Exp: ∞ | Added: 2024-04-30 05:03:51
bafyreidqyudse4wxg5tmkwzy7c7jdhczx3xpqik64l6rcrjymjtng56fja | Yz6Uamd7Kq.txt-clusterDAG | CLUSTERDAG-PIN-DIRECT | Repl. Factor: -1 | Allocations: [everywhere] | Direct | Metadata: yes | Exp: ∞ | Added: 2024-04-30 04:55:23
bafyreidtdmm2ky7emodbybepbyqib3nhctsxmldihxpip5cwuup5emen5i | 4VY1sGXD5A.txt-clusterDAG | CLUSTERDAG-PIN-DIRECT | Repl. Factor: -1 | Allocations: [everywhere] | Direct | Metadata: yes | Exp: ∞ | Added: 2024-04-30 04:55:34
bafyreiem2ratockietlkww4blnhlvs3mn2t5i2rkmuxfcx3j5okaxv2ixe | tD5dbV6uwN.txt-shard-1 | SHARD-PIN | Repl. Factor: 1--1 | Allocations: [12D3KooWF7smC2y7D2GZSWJGGH1w7bQhJc8Bobxux5V2Vs9G2UiA] | Recursive-1 | Metadata: no | Exp: ∞ | Added: 2024-04-30 05:03:39
bafyreies2rx254n5ib6pdooilsj6jrcunwo6vvozqqkxakyrgei3xx5tai | Neixm2c199.txt-shard-3 | SHARD-PIN | Repl. Factor: 1--1 | Allocations: [12D3KooWABnCrssDUs13nD2vZJaiAtyV4HEwQq54wKhZwgnqayrf] | Recursive-1 | Metadata: no | Exp: ∞ | Added: 2024-04-30 05:04:15
bafyreiesu75odhouf6bw4khzwagwylyg3nycs2ku2rkxusjqgaegmivdli | Neixm2c199.txt-shard-2 | SHARD-PIN | Repl. Factor: 1--1 | Allocations: [12D3KooWG1KVsGXDurD1hwtuUGNNV6HVRmo12TJ2yytMHYuV2hX5] | Recursive-1 | Metadata: no | Exp: ∞ | Added: 2024-04-30 05:04:14
bafyreieujta4fvg7xhq46mtahxzvrtkhjpncq7yui32kxzlm6mgvxgyovy | Neixm2c199.txt-clusterDAG | CLUSTERDAG-PIN-DIRECT | Repl. Factor: -1 | Allocations: [everywhere] | Direct | Metadata: yes | Exp: ∞ | Added: 2024-04-30 05:04:17
bafyreievtjecj5n35ruofdkd3zmat6vujuba3zwhh4jf32ikrgjactnety | fEtpYjB8HK.txt-shard-3 | SHARD-PIN | Repl. Factor: 1--1 | Allocations: [12D3KooWF7smC2y7D2GZSWJGGH1w7bQhJc8Bobxux5V2Vs9G2UiA] | Recursive-1 | Metadata: no | Exp: ∞ | Added: 2024-04-30 04:38:06
bafyreifer4wtryb5cswusi4m2mr4qp56u7qnvtwgg4khg5syxxx7km5xmm | sowsJwWkbe.txt-shard-2 | SHARD-PIN | Repl. Factor: 1--1 | Allocations: [12D3KooWAmFjtVRQj3UDLhA1mrCmyZqjpFKrrw1uC298sqbP3PR2] | Recursive-1 | Metadata: no | Exp: ∞ | Added: 2024-04-30 05:03:51
